time,x,y
1412,3693.14,0
1413,3653.54,0
1414,3583.44,1
1415,3573.13,1
1416,3553.51,3
1417,3598.76,3
1418,3660.96,3
1419,3707.69,3
1420,3705.87,3
1421,3734.89,3
1422,3730.61,3
1423,3752.21,3
1424,3813.79,2
1425,3835.27,0
1426,3827.84,0
1427,3812.16,1
1428,3823.52,0
1429,3821.79,0
1430,3758.36,1
1431,3739.14,3
1432,3825,0
1433,3814.1,0
1434,3795.41,0
1435,3720.77,1
1436,3649.9,3
1437,3675.01,3
1438,3770.21,3
1439,3756.41,3
1440,3806.81,3
1441,3799.61,3
1442,3845.8,2
1443,3801.39,3
1444,3882.67,2
1445,3883.83,2
1446,3827.6,2
1447,3892.36,0
1448,3871.45,0
1449,3873.22,0
1450,3820.85,0
1451,3808.24,0
1452,3744.45,0
1453,3743.95,0
1454,3663.78,0
1455,3714.02,0
1456,3607.69,1
1457,3639.46,1
1458,3584.25,3
1459,3670.33,3
1460,3708.73,3
1461,3707.29,3
1462,3785.49,3
1463,3785.59,3
1464,3814.39,2
1465,3808.07,2
1466,3806.01,2
1467,3863.16,0
1468,3829.06,0
1469,3828.16,0
1470,3760.22,1
1471,3729.36,3
1472,3813.17,0
1473,3784.62,0
1474,3809.16,0
1475,3721.45,3
1476,3680.15,3
1477,3775.74,2
1478,3795.92,2
1479,3799.11,2
1480,3846.62,0
1481,3840.05,0
1482,3785.3,1
1483,3757.39,3
1484,3798.38,2
1485,3803.72,2
1486,3830.44,2
1487,3834.09,2
1488,3875.82,0
1489,3830.82,1
1490,3794.44,3
1491,3872.06,3
1492,3898.38,3
1493,3910.75,3
1494,3912.73,3
1495,3947.15,3
1496,3959.98,3
1497,3935.5,3
1498,3936.33,3
1499,4013.97,2
1500,4012.91,2
